"N";"Category";"Category Type";"Type";"Description";"Type";"Identifier";"LDEL";"Fields";"Label";"RDEL";"GEDCOM";"Shorten";"Attribute";"Privacy";"Optional";"Hint";"Tooltip"
;;;;;;;"(";"[LOCATION]";;"),";;"LOC";;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
45;"Cemetery Records";"Markers & Memorials (Originals)";"Images online";;"L";"ESM215";;"[AUTHOR]";"Creator";".";"A";;;;;;
;;;;;;;;"[WEBSITE]";;".";"T";;"Italics";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"T";;;;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
45;"Cemetery Records";"Markers & Memorials (Originals)";"Images online";;"F";"ESM215";;"[AUTHOR]";"Creator";",";;;;;;;
;;;;;;;;"[WEBSITE]";;",";;;"Italics";;;;
;;;;;;;;"[TYPE]";"Item Type";;;;;;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
45;"Cemetery Records";"Markers & Memorials (Originals)";"Images online";;"S";"ESM215";;"[AUTHOR]";"Creator";",";;;;;;;
;;;;;;;;"[WEBSITE]";;",";;;"Italics";;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
46;"Cemetery Records";"Markers & Memorials (Originals)";"Memorial plaques";;"L";"ESM216";;"[CEMETERY]";;;"T";;;;;;
;;;;;;;"(";"[LOCATION]";;").";"P";;;;;;
;;;;;;;;"[TYPE]";"Item Type";".";"T";;;;;;
46;"Cemetery Records";"Markers & Memorials (Originals)";"Memorial plaques";;"F";"ESM216";;"[CEMETERY]";;;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[RESEARCH COMMENT]";"Data Collection Info";",";;;;;;;
;;;;;;;;"[DATE]";"Date Read or Photographed";".";;;;;;;
46;"Cemetery Records";"Markers & Memorials (Originals)";"Memorial plaques";;"S";"ESM216";;"[CEMETERY]";;;;;;;;;
;;;;;;;"(";"[LOCATION]";;"),";;"LOC";;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
47;"Cemetery Records";"Derivatives";"Cemetery abstracts";"vertical file";"L";"ESM217";;"[FILE]";"File Label";".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"T";;;;;;
;;;;;;;;"[CREATION DATE]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
47;"Cemetery Records";"Derivatives";"Cemetery abstracts";"vertical file";"F";"ESM217";;"[FILE]";"File Label";;;;"Quoted";;;;
;;;;;;;"(";"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[CREATION DATE]";;",";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;"),";;"LOC";;;;;
;;;;;;;;"[FILE UNIT]";"Folder Label";";";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
47;"Cemetery Records";"Derivatives";"Cemetery abstracts";"vertical file";"S";"ESM217";;"[FILE]";"File Label";",";;;"Quoted";;;;
;;;;;;;;"[FILE UNIT]";"Folder Label";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
48;"Cemetery Records";"Derivatives";"Cemetery abstracts";"card file";"L";"ESM218";;"[FILE]";"File Label";".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"T";;;;;;
;;;;;;;;"[CREATION DATE]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
48;"Cemetery Records";"Derivatives";"Cemetery abstracts";"card file";"F";"ESM218";;"[FILE]";"File Label";;;;"Quoted";;;;
;;;;;;;"(";"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[CREATION DATE]";;",";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;"),";;"LOC";;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
48;"Cemetery Records";"Derivatives";"Cemetery abstracts";"card file";"S";"ESM218";;"[FILE]";"File Label";",";;;"Quoted";;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
49;"Cemetery Records";"Derivatives";"Database online";;"L";"ESM219";;"[AUTHOR]";"Creator";".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";"Database Title";".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"T";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
49;"Cemetery Records";"Derivatives";"Database online";;"F";"ESM219";;"[AUTHOR]";"Creator";",";;"GS";;;;;
;;;;;;;;"[TITLE]";"Database Title";",";;;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
49;"Cemetery Records";"Derivatives";"Database online";;"S";"ESM219";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";"Item Type";",";;;"Quoted";;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
50;"Census Records";"Original manuscripts (U.S.)";"Local copy";"federal census";"L";"ESM237";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";",";"T";;;;;;
;;;;;;;;"[SCHEDULE]";;".";"T";;;;;;
;;;;;;;;"[NUMBER]";"Copy ID";".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
50;"Census Records";"Original manuscripts (U.S.)";"Local copy";"federal census";"F";"ESM237";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;;;;;;;;
;;;;;;;"(";"[NUMBER]";"Copy ID";"),";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
50;"Census Records";"Original manuscripts (U.S.)";"Local copy";"federal census";"S";"ESM237";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;"(";"[NUMBER]";"Copy ID";"),";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
51;"Census Records";"Original manuscripts (U.S.)";"National Archives copy";;"L";"ESM238";;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[SECTION]";"Subgroup";".";"T";;;;;;
;;;;;;;;"[TITLE]";"Record Group Name";",";"T";;;;;;
;;;;;;;;"[NUMBER]";"Record Group No.";".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;;"P";"LOC";;;;;
51;"Census Records";"Original manuscripts (U.S.)";"National Archives copy";;"F";"ESM238";;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;";";;;;;;;
;;;;;;;;"[SERIES]";;";";;;;;;;
;;;;;;;"vol.";"[VOLUME]";;";";;;;;;;
;;;;;;;;"[SECTION]";"Subgroup";";";;;;;;;
;;;;;;;;"[TITLE]";"Record Group Name";",";;;;;;;
;;;;;;;;"[NUMBER]";"Record Group No.";";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
51;"Census Records";"Original manuscripts (U.S.)";"National Archives copy";;"S";"ESM238";;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;";";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[SECTION]";"Subgroup";",";;;;;;;
;;;;;;;;"[NUMBER]";"Record Group No.";",";;;;;;;
;;;;;;;;"[REPOSITORY]";;".";;;;;;;
52;"Census Records";"Digital Images";"CD/DVD";;"L";"ESM239";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";",";"T";;;;;;
;;;;;;;;"[SCHEDULE]";;".";"T";;;;;;
;;;;;;;;"[TITLE]";"Publication Title";".";"T";;"Italics";;;;
;;;;;;;;"[FORMAT]";;".";"P";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[DATE]";;".";"P";"YEAR";;;;;
52;"Census Records";"Digital Images";"CD/DVD";;"F";"ESM239";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Geographic Division";",";;;;;;;
;;;;;;;;"[DISTRICT]";"Enumeration District";",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[TITLE]";"Publication Title";",";;;"Italics";;;;
;;;;;;;;"[FORMAT]";;;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[DATE]";;");";;;;;;;
;;;;;;;;"[CREDIT LINE]";;".";;;;;;;
52;"Census Records";"Digital Images";"CD/DVD";;"S";"ESM239";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[DISTRICT]";"Enumeration District";",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
53;"Census Records";"Digital Images";"Online commercial site";;"L";"ESM240";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";",";"T";;;;;;
;;;;;;;;"[SCHEDULE]";;".";"T";;;;;;
;;;;;;;;"[TYPE]";"Item Type";".";"P";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
53;"Census Records";"Digital Images";"Online commercial site";;"F";"ESM240";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;");";;;;;;;
;;;;;;;;"[CREDIT LINE]";;".";;;;;;;
53;"Census Records";"Digital Images";"Online commercial site";;"S";"ESM240";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
54;"Census Records";"Digital Images";"Online archives";"France";"L";"ESM241";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";".";"T";;;;;;
;;;;;;;;"[FORMAT]";;".";"P";;;;;;
;;;;;;;;"[WEBSITE CREATOR/OWNER]";;".";"P";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
54;"Census Records";"Digital Images";"Online archives";"France";"F";"ESM241";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[FORMAT]";;",";;;;;;;
;;;;;;;;"[WEBSITE CREATOR/OWNER]";;",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;");";;;;;;;
;;;;;;;;"[CREDIT LINE]";;".";;;;;;;
54;"Census Records";"Digital Images";"Online archives";"France";"S";"ESM241";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
55;"Census Records";"Digital Images";"Online commercial site";"U.K. Wales";"L";"ESM242";;"[JURISDICTION]";;",";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";".";"T";;;;;;
;;;;;;;;"[TYPE]";"Item Type";".";"P";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
55;"Census Records";"Digital Images";"Online commercial site";"U.K. Wales";"F";"ESM242";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;");";;;;;;;
;;;;;;;;"[CREDIT LINE]";;".";;;;;;;
55;"Census Records";"Digital Images";"Online commercial site";"U.K. Wales";"S";"ESM242";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
56;"Census Records";"Microfilm (U.S.)";"Native-American tribal census";;"L";"ESM243";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";".";"T";;;;;;
;;;;;;;;"[CREATOR]";"Agency/Creator";".";"T";;;;;;
;;;;;;;;"[TITLE]";"Publication Title";".";"T";;"Italics";;;;
;;;;;;;;"[FILM ID]";"Film ID";".";"P";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";;;;;;;
56;"Census Records";"Microfilm (U.S.)";"Native-American tribal census";;"F";"ESM243";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[CREATOR]";"Agency/Creator";",";;;;;;;
;;;;;;;;"[TITLE]";"Publication Title";",";;;"Italics";;;;
;;;;;;;;"[FILM ID]";"Film ID";;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;"roll ";"[ROLL]";;".";;;;;;;
56;"Census Records";"Microfilm (U.S.)";"Native-American tribal census";;"S";"ESM243";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
57;"Census Records";"Microfilm (U.S.)";"Nonpopulation schedules";"NARA film";"L";"ESM244";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";".";"T";;;;;;
;;;;;;;;"[TITLE]";"Schedule Title";"schedule.";"T";;"Quoted";;;;
;;;;;;;;"[FILM ID]";;".";"P";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
57;"Census Records";"Microfilm (U.S.)";"Nonpopulation schedules";"NARA film";"F";"ESM244";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[TITLE]";"Schedule Title";",";;;"Quoted";;;;
;;;;;;;;"[SECTION]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[DISTRICT]";"Enumeration District";",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[FILM ID]";;".";;;;;;;
57;"Census Records";"Microfilm (U.S.)";"Nonpopulation schedules";"NARA film";"S";"ESM244";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[TITLE]";"Schedule Title";",";;;"Quoted";;;;
;;;;;;;;"[SECTION]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[DISTRICT]";"Enumeration District";",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
58;"Census Records";"Microfilm (U.S.)";"Nonpopulation schedules";"FHL-GSU preservation film";"L";"ESM245";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";",";"T";;;;;;
;;;;;;;;"[SCHEDULE]";;".";"T";;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY LOCATION]";;".";"P";;;;;;
;;;;;;;;"[FILM ID]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
58;"Census Records";"Microfilm (U.S.)";"Nonpopulation schedules";"FHL-GSU preservation film";"F";"ESM245";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;"Quoted";;;;
;;;;;;;;"[ORIGINAL REPOSITORY]";;",";;;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY LOCATION]";;";";;;;;;;
;;;;;;;;"[FILM ID]";;".";;;;;;;
58;"Census Records";"Microfilm (U.S.)";"Nonpopulation schedules";"FHL-GSU preservation film";"S";"ESM245";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;"Quoted";;;;
59;"Census Records";"Microfilm (U.S.)";"Nonpopulation schedules";"UNC microfilm publication";"L";"ESM246";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";",";"T";;;;;;
;;;;;;;;"[SCHEDULE]";;".";"T";;;;;;
;;;;;;;;"[TITLE]";"Film Title";".";"T";;"Italics";;;;
;;;;;;;;"[FILM ID]";;".";"P";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
59;"Census Records";"Microfilm (U.S.)";"Nonpopulation schedules";"UNC microfilm publication";"F";"ESM246";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[TITLE]";"File Title";",";;;"Italics";;;;
;;;;;;;;"[FILM ID]";;;;;;;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[YEAR]";"Year(s)";"),";;;;;;;
;;;;;;;;"[ROLL]";;".";;;;;;;
59;"Census Records";"Microfilm (U.S.)";"Nonpopulation schedules";"UNC microfilm publication";"S";"ESM246";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
60;"Census Records";"Microfilm (U.S.)";"Population schedules";"1790-1840";"L";"ESM247";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";".";"T";;;;;;
;;;;;;;;"[FILM ID]";;".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
60;"Census Records";"Microfilm (U.S.)";"Population schedules";"1790-1840";"F";"ESM247";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[FILM ID]";;".";;;;;;;
60;"Census Records";"Microfilm (U.S.)";"Population schedules";"1790-1840";"S";"ESM247";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
61;"Census Records";"Microfilm (U.S.)";"Population schedules";"1850-1870";"L";"ESM248";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";",";"T";;;;;;
;;;;;;;;"[SCHEDULE]";;".";"T";;;;;;
;;;;;;;;"[FILM ID]";;".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
61;"Census Records";"Microfilm (U.S.)";"Population schedules";"1850-1870";"F";"ESM248";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[FILM ID]";;".";;;;;;;
61;"Census Records";"Microfilm (U.S.)";"Population schedules";"1850-1870";"S";"ESM248";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[HOUSEHOLD]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";".";;;;;;;
62;"Census Records";"Microfilm (U.S.)";"Population schedules";"1850-1860: slaves";"L";"ESM249";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[ID]";"Census ID";",";"T";;;;;;
;;;;;;;;"[SCHEDULE]";;".";"T";;;;;;
;;;;;;;;"[FILM ID]";;".";"T";;;;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
62;"Census Records";"Microfilm (U.S.)";"Population schedules";"1850-1860: slaves";"F";"ESM249";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
;;;;;;;;"[DIVISION]";"Civil Division(s)";",";;;;;;;
;;;;;;;;"[PAGE]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Person of Interest";";";;;;;;;
;;;;;;;;"[FILM ID]";;".";;;;;;;
62;"Census Records";"Microfilm (U.S.)";"Population schedules";"1850-1860: slaves";"S";"ESM249";;"[ID]";"Census ID";",";;;;;;;
;;;;;;;;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SCHEDULE]";;",";;;;;;;
